Schulnummer;Anzahl;
"121745";"232";
"121769";"163";
"121770";"176";
"121794";"396";
"121800";"123";
"121812";"183";
"121836";"338";
"121848";"325";
"121850";"351";
"121861";"267";
"121885";"398";
"121897";"313";
"121903";"104";
"121915";"170";
"121927";"234";
"121940";"326";
"121964";"200";
"121976";"409";
"121988";"86";
"121990";"259";
"122002";"205";
"122014";"213";
"122026";"224";
"122038";"404";
"122040";"111";
"122051";"179";
"122063";"124";
"122087";"139";
"122099";"113";
"122117";"198";
"122129";"211";
"122130";"140";
"122142";"126";
"122154";"105";
"122166";"180";
"122178";"202";
"122180";"167";
"122191";"404";
"122208";"189";
"122210";"190";
"122221";"277";
"122245";"180";
"122257";"355";
"122269";"226";
"122270";"296";
"122282";"288";
"122294";"248";
"122336";"231";
"122348";"299";
"122373";"144";
"122385";"291";
"122403";"201";
"122415";"120";
"122439";"197";
"122440";"341";
"122464";"304";
"122476";"268";
"122488";"215";
"122490";"301";
"122506";"216";
"122518";"296";
"122555";"218";
"122579";"218";
"122580";"467";
"122592";"225";
"122610";"395";
"122646";"165";
"122658";"159";
"122660";"207";
"122713";"182";
"122737";"179";
"122749";"265";
"122774";"200";
"122798";"202";
"122804";"187";
"122816";"217";
"122828";"291";
"122830";"206";
"122841";"396";
"122889";"214";
"122907";"211";
"122920";"198";
"122932";"178";
"122944";"276";
"122968";"458";
"122970";"236";
"122981";"193";
"123018";"243";
"123031";"140";
"123043";"116";
"123055";"203";
"123067";"322";
"123080";"283";
"123092";"206";
"123109";"196";
"123122";"89";
"123134";"176";
"123146";"215";
"123158";"145";
"123160";"147";
"123183";"190";
"123195";"278";
"123201";"240";
"123213";"185";
"123225";"191";
"123237";"213";
"123249";"241";
"123250";"261";
"123262";"273";
"123274";"251";
"123298";"282";
"123304";"170";
"123316";"196";
"123328";"352";
"123341";"213";
"123353";"268";
"123365";"193";
"123377";"362";
"123389";"293";
"123407";"135";
"123419";"246";
"123420";"218";
"123444";"170";
"123468";"203";
"123470";"200";
"123481";"241";
"123493";"190";
"123500";"180";
"123511";"224";
"123523";"189";
"123535";"103";
"123559";"260";
"123572";"188";
"123596";"127";
"123602";"293";
"123614";"94";
"123626";"339";
"123640";"341";
"123663";"138";
"123705";"380";
"123730";"174";
"123754";"298";
"123766";"164";
"123780";"194";
"123791";"195";
"123808";"145";
"123810";"154";
"123821";"159";
"123833";"116";
"123857";"289";
"123869";"94";
"123870";"179";
"123882";"297";
"123924";"245";
"123936";"176";
"123948";"196";
"123950";"277";
"123961";"249";
"123973";"183";
"123985";"146";
"123997";"109";
"124000";"284";
"124011";"262";
"124059";"326";
"124060";"330";
"124084";"182";
"124102";"163";
"124114";"282";
"124126";"265";
"124138";"354";
"124151";"292";
